id,postal_code,city,state
1,01105,Springfield,MA
2,01114,Springfield,MA
3,01129,Springfield,MA
4,01152,Springfield,MA
5,01605,Worcester,MA
6,01610,Worcester,MA
7,01654,Worcester,MA
8,01813,Woburn,MA
9,02104,Boston,MA
10,02109,Boston,MA
11,02114,Boston,MA
12,02124,Boston,MA
13,02142,Cambridge,MA
14,02162,Newton,MA
15,02163,Boston,MA
16,02203,Boston,MA
17,02208,Boston,MA
18,02216,Boston,MA
19,02283,Boston,MA
20,02305,Brockton,MA
21,02405,Brockton,MA
22,02453,Waltham,MA
23,02458,Newton,MA
24,02472,Watertown,MA
25,02745,New Bedford,MA
26,06105,Hartford,CT
27,06120,Hartford,CT
28,06127,West Hartford,CT
29,06145,Hartford,CT
30,06152,Hartford,CT
31,06160,Hartford,CT
32,06183,Hartford,CT
33,06505,New Haven,CT
34,06510,New Haven,CT
35,06520,New Haven,CT
36,06533,New Haven,CT
37,06538,New Haven,CT
38,06606,Bridgeport,CT
39,06673,Bridgeport,CT
40,06705,Waterbury,CT
41,06721,Waterbury,CT
42,06816,Danbury,CT
43,06825,Fairfield,CT
44,06854,Norwalk,CT
45,06905,Stamford,CT
46,06912,Stamford,CT
47,06922,Stamford,CT
48,07104,Newark,NJ
49,07112,Newark,NJ
50,07188,Newark,NJ
51,07195,Newark,NJ
52,07208,Elizabeth,NJ
53,07305,Jersey City,NJ
54,07310,Jersey City,NJ
55,07505,Paterson,NJ
56,07522,Paterson,NJ
57,07544,Paterson,NJ
58,08104,Camden,NJ
59,08603,Trenton,NJ
60,08608,Trenton,NJ
61,08619,Trenton,NJ
62,08638,Trenton,NJ
63,08650,Trenton,NJ
64,08695,Trenton,NJ
65,08922,New Brunswick,NJ
66,10009,New York City,NY
67,10014,New York City,NY
68,10019,New York City,NY
69,10024,New York City,NY
70,10029,New York City,NY
71,10034,New York City,NY
72,10039,New York City,NY
73,10045,New York City,NY
74,10060,New York City,NY
75,10079,New York City,NY
76,10090,New York City,NY
77,10099,New York City,NY
78,10105,New York City,NY
79,10115,New York City,NY
80,10120,New York City,NY
81,10125,New York City,NY
82,10131,New York City,NY
83,10150,New York City,NY
84,10155,New York City,NY
85,10160,New York City,NY
86,10165,New York City,NY
87,10170,New York City,NY
88,10175,New York City,NY
89,10184,New York City,NY
90,10203,New York City,NY
91,10249,New York City,NY
92,10270,New York City,NY
93,10275,New York City,NY
94,10280,New York City,NY
95,10292,New York City,NY
96,10305,Staten Island,NY
97,10310,Staten Island,NY
98,10454,Bronx,NY
99,10459,Bronx,NY
100,10464,Bronx,NY
101,10469,Bronx,NY
102,10474,Bronx,NY
103,10557,Mount Vernon,NY
104,10633,White Plains,NY
105,10705,Yonkers,NY
106,11024,Great Neck,NY
107,11044,New Hyde Park,NY
108,11054,Port Washington,NY
109,11205,Brooklyn,NY
110,11210,Brooklyn,NY
111,11215,Brooklyn,NY
112,11220,Brooklyn,NY
113,11225,Brooklyn,NY
114,11231,Brooklyn,NY
115,11236,Brooklyn,NY
116,11241,Brooklyn,NY
117,11247,Brooklyn,NY
118,11254,Brooklyn,NY
119,11407,Jamaica,NY
120,11431,Jamaica,NY
121,11436,Jamaica,NY
122,11447,Jamaica,NY
123,11470,Jamaica,NY
124,11499,Jamaica,NY
125,11854,Hicksville,NY
126,12205,Albany,NY
127,12222,Albany,NY
128,12227,Albany,NY
129,12232,Albany,NY
130,12237,Albany,NY
131,12242,Albany,NY
132,12255,Albany,NY
133,12262,Albany,NY
134,12305,Schenectady,NY
135,12325,Schenectady,NY
136,13205,Syracuse,NY
137,13210,Syracuse,NY
138,13217,Syracuse,NY
139,13224,Syracuse,NY
140,13251,Syracuse,NY
141,13505,Utica,NY
142,14210,Buffalo,NY
143,14215,Buffalo,NY
144,14225,Buffalo,NY
145,14233,Buffalo,NY
146,14263,Buffalo,NY
147,14269,Buffalo,NY
148,14604,Rochester,NY
149,14609,Rochester,NY
150,14614,Rochester,NY
151,14619,Rochester,NY
152,14624,Rochester,NY
153,14639,Rochester,NY
154,14646,Rochester,NY
155,14652,Rochester,NY
156,14683,Rochester,NY
157,20167,Sterling,VA
158,20195,Reston,VA
159,22070,Herndon,VA
160,22093,Ashburn,VA
161,22096,Reston,VA
162,22119,Merrifield,VA
163,22156,Springfield,VA
164,22184,Vienna,VA
165,22205,Arlington,VA
166,22212,Arlington,VA
167,22217,Arlington,VA
168,22234,Arlington,VA
169,22244,Arlington,VA
170,22301,Alexandria,VA
171,22309,Alexandria,VA
172,22313,Alexandria,VA
173,22333,Alexandria,VA
174,22405,Fredericksburg,VA
175,22903,Charlottesville,VA
176,22908,Charlottesville,VA
177,23203,Richmond,VA
178,23208,Richmond,VA
179,23213,Richmond,VA
180,23220,Richmond,VA
181,23225,Richmond,VA
182,23228,Richmond,VA
183,23237,Richmond,VA
184,23242,Richmond,VA
185,23260,Richmond,VA
