rate_id,postal_code,city,state
85,11054,Port Washington,NY
97,92645,Garden Grove,CA
54,92668,Orange,CA
95,94257,Sacramento,CA
78,10099,New York City,NY
80,12232,Albany,NY
34,98109,Seattle,WA
94,10705,Yonkers,NY
81,07112,Newark,NJ
67,07310,Jersey City,NJ
83,24503,Lynchburg,VA
95,98682,Vancouver,WA
39,94660,Oakland,CA
54,10014,New York City,NY
66,93111,Santa Barbara,CA
47,12227,Albany,NY
4,23260,Richmond,VA
47,98664,Vancouver,WA
17,06606,Bridgeport,CT
41,06127,West Hartford,CT
64,23605,Newport News,VA
55,98158,Seattle,WA
96,23471,Virginia Beach,VA
7,98206,Everett,WA
85,24004,Roanoke,VA
89,12232,Albany,NY
21,94302,Palo Alto,CA
74,07544,Paterson,NJ
96,92191,San Diego,CA
30,14263,Buffalo,NY
84,92424,San Bernardino,CA
60,11225,Brooklyn,NY
9,14263,Buffalo,NY
79,95138,San Jose,CA
25,11431,Jamaica,NY
76,93907,Salinas,CA
17,90510,Torrance,CA
61,93584,Lancaster,CA
78,07522,Paterson,NJ
80,98498,Lakewood,WA
43,90505,Torrance,CA
31,24004,Roanoke,VA
72,10019,New York City,NY
61,94121,San Francisco,CA
49,90405,Santa Monica,CA
97,90410,Santa Monica,CA
64,10305,Staten Island,NY
56,98481,Tacoma,WA
12,08104,Camden,NJ
90,92127,San Diego,CA
2,14639,Rochester,NY
61,20195,Reston,VA
4,02305,Brockton,MA
90,95150,San Jose,CA
8,07208,Elizabeth,NJ
43,92170,San Diego,CA
68,95150,San Jose,CA
19,95397,Modesto,CA
84,23293,Richmond,VA
62,23605,Newport News,VA
20,23520,Norfolk,VA
26,10034,New York City,NY
52,93591,Palmdale,CA
36,10024,New York City,NY
22,08695,Trenton,NJ
10,90071,Los Angeles,CA
68,90060,Los Angeles,CA
50,94807,Richmond,CA
77,23605,Newport News,VA
35,93291,Visalia,CA
1,98411,Tacoma,WA
62,11407,Jamaica,NY
57,14646,Rochester,NY
92,02745,New Bedford,MA
72,10045,New York City,NY
46,11225,Brooklyn,NY
96,22313,Alexandria,VA
6,98682,Vancouver,WA
58,99252,Spokane,WA
74,23324,Chesapeake,VA
4,07505,Paterson,NJ
96,94126,San Francisco,CA
80,95118,San Jose,CA
98,06533,New Haven,CT
28,13205,Syracuse,NY
80,06505,New Haven,CT
47,95219,Stockton,CA
54,93591,Palmdale,CA
31,14263,Buffalo,NY
65,12242,Albany,NY
44,10014,New York City,NY
19,10280,New York City,NY
93,91411,Van Nuys,CA
20,14225,Buffalo,NY
75,23663,Hampton,VA
56,10310,Staten Island,NY
67,91520,Burbank,CA
33,10099,New York City,NY
21,23213,Richmond,VA
3,22119,Merrifield,VA
85,12262,Albany,NY
12,24034,Roanoke,VA
69,95865,Sacramento,CA
69,06816,Danbury,CT
24,94164,San Francisco,CA
74,95123,San Jose,CA
13,93291,Visalia,CA
81,23213,Richmond,VA
38,10105,New York City,NY
34,10464,Bronx,NY
44,02745,New Bedford,MA
63,93704,Fresno,CA
44,94286,Sacramento,CA
88,94302,Palo Alto,CA
92,24515,Lynchburg,VA
43,14683,Rochester,NY
35,08603,Trenton,NJ
20,98464,Tacoma,WA
26,22217,Arlington,VA
20,23277,Richmond,VA
2,91913,Chula Vista,CA
48,11231,Brooklyn,NY
73,14619,Rochester,NY
96,90847,Long Beach,CA
24,95113,San Jose,CA
24,23454,Virginia Beach,VA
8,23668,Hampton,VA
42,92645,Garden Grove,CA
6,20195,Reston,VA
68,92145,San Diego,CA
59,11210,Brooklyn,NY
98,98664,Vancouver,WA
30,94121,San Francisco,CA
24,23213,Richmond,VA
51,06905,Stamford,CT
69,94250,Sacramento,CA
58,98166,Seattle,WA
93,95054,Santa Clara,CA
47,90101,Los Angeles,CA
45,10203,New York City,NY
55,10045,New York City,NY
56,10557,Mount Vernon,NY
53,10029,New York City,NY
97,08922,New Brunswick,NJ
38,11241,Brooklyn,NY
43,22908,Charlottesville,VA
97,06120,Hartford,CT
52,24503,Lynchburg,VA
84,06825,Fairfield,CT
31,23272,Richmond,VA
82,95133,San Jose,CA
49,90005,Los Angeles,CA
21,94291,Sacramento,CA
89,92170,San Diego,CA
57,93726,Fresno,CA
99,90310,Inglewood,CA
39,23293,Richmond,VA
60,98442,Tacoma,WA
49,94110,San Francisco,CA
66,23260,Richmond,VA
11,10474,Bronx,NY
44,06510,New Haven,CT
71,10045,New York City,NY
19,22096,Reston,VA
79,98115,Seattle,WA
64,13205,Syracuse,NY
14,12227,Albany,NY
34,94660,Oakland,CA
37,14233,Buffalo,NY
54,23471,Virginia Beach,VA
39,24048,Roanoke,VA
40,90840,Long Beach,CA
60,92835,Fullerton,CA
29,10131,New York City,NY
66,93721,Fresno,CA
50,23213,Richmond,VA
78,22301,Alexandria,VA
68,24024,Roanoke,VA
28,92805,Anaheim,CA
6,24004,Roanoke,VA
54,92145,San Diego,CA
33,12237,Albany,NY
96,23509,Norfolk,VA
20,94522,Concord,CA
4,94105,San Francisco,CA
27,94116,San Francisco,CA
41,92110,San Diego,CA
49,98907,Yakima,WA
79,14614,Rochester,NY
20,98682,Vancouver,WA
7,24503,Lynchburg,VA
47,92191,San Diego,CA
57,23509,Norfolk,VA
57,94257,Sacramento,CA
34,94237,Sacramento,CA
45,10060,New York City,NY
44,92645,Garden Grove,CA
79,10090,New York City,NY
60,01114,Springfield,MA
19,92056,Oceanside,CA
77,01605,Worcester,MA
20,23213,Richmond,VA
53,92056,Oceanside,CA
26,99215,Spokane,WA
13,22333,Alexandria,VA
79,11247,Brooklyn,NY
12,10115,New York City,NY
58,06533,New Haven,CT
72,23605,Newport News,VA
28,07505,Paterson,NJ
44,11436,Jamaica,NY
20,23663,Hampton,VA
28,98175,Seattle,WA
68,07310,Jersey City,NJ
41,90605,Whittier,CA
49,10469,Bronx,NY
91,99210,Spokane,WA
86,99260,Spokane,WA
30,02104,Boston,MA
94,91125,Pasadena,CA
7,98166,Seattle,WA
98,12242,Albany,NY
96,10454,Bronx,NY
20,95133,San Jose,CA
79,22903,Charlottesville,VA
42,95833,Sacramento,CA
4,06705,Waterbury,CT
85,14210,Buffalo,NY
5,22119,Merrifield,VA
4,92153,San Diego,CA
22,22217,Arlington,VA
3,92648,Huntington Beach,CA
75,24515,Lynchburg,VA
8,92662,Newport Beach,CA
13,94622,Oakland,CA
31,14269,Buffalo,NY
97,02216,Boston,MA
22,90020,Los Angeles,CA
54,12232,Albany,NY
71,06912,Stamford,CT
95,06854,Norwalk,CT
51,10170,New York City,NY
26,98109,Seattle,WA
23,10249,New York City,NY
37,94237,Sacramento,CA
13,91797,Pomona,CA
98,94291,Sacramento,CA
80,92668,Orange,CA
76,22070,Herndon,VA
85,12255,Albany,NY
54,02216,Boston,MA
49,22096,Reston,VA
14,07305,Jersey City,NJ
66,06606,Bridgeport,CT
25,22309,Alexandria,VA
41,13224,Syracuse,NY
21,08650,Trenton,NJ
12,92127,San Diego,CA
1,12325,Schenectady,NY
76,94605,Oakland,CA
24,12255,Albany,NY
16,92115,San Diego,CA
54,91117,Pasadena,CA
97,94302,Palo Alto,CA
2,22156,Springfield,VA
76,91841,Alhambra,CA
72,92705,Santa Ana,CA
86,12205,Albany,NY
58,94622,Oakland,CA
30,07112,Newark,NJ
87,93094,Simi Valley,CA
24,11254,Brooklyn,NY
25,94169,San Francisco,CA
48,95173,San Jose,CA
90,93311,Bakersfield,CA
61,23459,Virginia Beach,VA
99,02405,Brockton,MA
47,11231,Brooklyn,NY
45,10079,New York City,NY
52,92127,San Diego,CA
28,91520,Burbank,CA
19,01114,Springfield,MA
35,90398,Inglewood,CA
27,90805,Long Beach,CA
3,90847,Long Beach,CA
48,95219,Stockton,CA
77,92145,San Diego,CA
71,01152,Springfield,MA
67,98158,Seattle,WA
33,10155,New York City,NY
57,02203,Boston,MA
51,22313,Alexandria,VA
76,02104,Boston,MA
47,93094,Simi Valley,CA
45,92822,Brea,CA
66,10705,Yonkers,NY
52,93399,Bakersfield,CA
6,92405,San Bernardino,CA
60,95123,San Jose,CA
22,99205,Spokane,WA
72,95852,Sacramento,CA
29,94250,Sacramento,CA
69,06721,Waterbury,CT
37,94237,Sacramento,CA
57,07505,Paterson,NJ
61,13505,Utica,NY
78,94605,Oakland,CA
1,24040,Roanoke,VA
9,02216,Boston,MA
52,90035,Los Angeles,CA
50,99210,Spokane,WA
23,90810,Long Beach,CA
48,10024,New York City,NY
32,98682,Vancouver,WA
62,10305,Staten Island,NY
80,14225,Buffalo,NY
12,10099,New York City,NY
95,10120,New York City,NY
90,93591,Palmdale,CA
4,93740,Fresno,CA
26,06183,Hartford,CT
92,94042,Mountain View,CA
6,90087,Los Angeles,CA
15,98417,Tacoma,WA
29,95133,San Jose,CA
49,94605,Oakland,CA
11,95823,Sacramento,CA
25,91109,Pasadena,CA
77,90605,Whittier,CA
50,24020,Roanoke,VA
50,11024,Great Neck,NY
87,14269,Buffalo,NY
16,06922,Stamford,CT
3,23237,Richmond,VA
32,11436,Jamaica,NY
8,95813,Sacramento,CA
85,92648,Huntington Beach,CA
51,90030,Los Angeles,CA
27,93704,Fresno,CA
3,23260,Richmond,VA
59,94660,Oakland,CA
15,02109,Boston,MA
54,98206,Everett,WA
22,92165,San Diego,CA
99,23454,Virginia Beach,VA
9,02472,Watertown,MA
50,98405,Tacoma,WA
2,90189,Los Angeles,CA
37,24029,Roanoke,VA
42,01129,Springfield,MA
49,93311,Bakersfield,CA
80,98498,Lakewood,WA
10,90847,Long Beach,CA
8,93715,Fresno,CA
24,07544,Paterson,NJ
49,91103,Pasadena,CA
15,93111,Santa Barbara,CA
92,24515,Lynchburg,VA
14,94807,Richmond,CA
77,92825,Anaheim,CA
37,10014,New York City,NY
68,91520,Burbank,CA
48,01152,Springfield,MA
75,23504,Norfolk,VA
30,20195,Reston,VA
81,12222,Albany,NY
75,94660,Oakland,CA
54,92612,Irvine,CA
30,93715,Fresno,CA
66,14639,Rochester,NY
55,93005,Ventura,CA
79,93726,Fresno,CA
5,94302,Palo Alto,CA
53,10280,New York City,NY
4,92153,San Diego,CA
71,06721,Waterbury,CT
46,94975,Petaluma,CA
86,10125,New York City,NY
30,95173,San Jose,CA
81,98008,Bellevue,WA
23,92812,Anaheim,CA
43,23471,Virginia Beach,VA
52,10464,Bronx,NY
7,10090,New York City,NY
91,92878,Corona,CA
37,95397,Modesto,CA
36,92555,Moreno Valley,CA
43,10474,Bronx,NY
9,11220,Brooklyn,NY
79,02162,Newton,MA
57,92145,San Diego,CA
92,10170,New York City,NY
11,90305,Inglewood,CA
56,10469,Bronx,NY
20,94042,Mountain View,CA
97,90305,Inglewood,CA
100,10270,New York City,NY
55,94280,Sacramento,CA
36,22156,Springfield,VA
41,06505,New Haven,CT
74,90405,Santa Monica,CA
42,98109,Seattle,WA
13,20167,Sterling,VA
49,94660,Oakland,CA
76,06673,Bridgeport,CT
5,01105,Springfield,MA
42,93726,Fresno,CA
82,12305,Schenectady,NY
77,11241,Brooklyn,NY
100,20195,Reston,VA
99,23668,Hampton,VA
65,94280,Sacramento,CA
91,10034,New York City,NY
49,22217,Arlington,VA
44,94164,San Francisco,CA
66,06145,Hartford,CT
20,96154,South Lake Tahoe,CA
26,10557,Mount Vernon,NY
7,91841,Alhambra,CA
54,23436,Suffolk,VA
58,23663,Hampton,VA
27,22217,Arlington,VA
56,08608,Trenton,NJ
32,92056,Oceanside,CA
97,98424,Tacoma,WA
71,11254,Brooklyn,NY
22,10039,New York City,NY
7,02208,Boston,MA
62,93721,Fresno,CA
92,92127,San Diego,CA
16,23454,Virginia Beach,VA
73,10305,Staten Island,NY
27,90071,Los Angeles,CA
52,98405,Tacoma,WA
86,06105,Hartford,CT
87,02208,Boston,MA
16,23220,Richmond,VA
61,93715,Fresno,CA
38,92883,Corona,CA
2,10633,White Plains,NY
11,23220,Richmond,VA
80,02203,Boston,MA
60,13251,Syracuse,NY
8,93399,Bakersfield,CA
93,98516,Olympia,WA
58,93005,Ventura,CA
95,95823,Sacramento,CA
34,94089,Sunnyvale,CA
10,93386,Bakersfield,CA
24,10184,New York City,NY
49,93111,Santa Barbara,CA
77,94712,Berkeley,CA
23,23228,Richmond,VA
58,93381,Bakersfield,CA
18,92648,Huntington Beach,CA
56,01152,Springfield,MA
98,02453,Waltham,MA
59,12232,Albany,NY
82,90065,Los Angeles,CA
12,06854,Norwalk,CT
20,12262,Albany,NY
28,22217,Arlington,VA
62,95219,Stockton,CA
56,07522,Paterson,NJ
83,93762,Fresno,CA
51,98104,Seattle,WA
27,98042,Kent,WA
28,22309,Alexandria,VA
24,92835,Fullerton,CA
60,10090,New York City,NY
75,95823,Sacramento,CA
26,06721,Waterbury,CT
62,94302,Palo Alto,CA
76,02472,Watertown,MA
67,98417,Tacoma,WA
96,92822,Brea,CA
71,10120,New York City,NY
14,92132,San Diego,CA
25,02163,Boston,MA
15,92835,Fullerton,CA
5,22070,Herndon,VA
62,22184,Vienna,VA
73,14614,Rochester,NY
72,95194,San Jose,CA
44,92555,Moreno Valley,CA
5,98109,Seattle,WA
60,95118,San Jose,CA
45,91125,Pasadena,CA
64,12305,Schenectady,NY
62,14604,Rochester,NY
3,98424,Tacoma,WA
61,95128,San Jose,CA
18,02453,Waltham,MA
82,24014,Roanoke,VA
67,10305,Staten Island,NY
93,08104,Camden,NJ
48,14269,Buffalo,NY
24,11225,Brooklyn,NY
77,94712,Berkeley,CA
36,10292,New York City,NY
91,07505,Paterson,NJ
